Value0,Value1,Rollout,Runtime
1.5205812352317205,3.4573486040111203,170.0,0.08406925201416016
1.7454675834026514,3.1956276340910788,171.0,0.08567595481872559
1.6722050329395282,3.478006497338494,172.0,0.08644676208496094
1.8170826327548812,3.196484210332943,173.0,0.0836648941040039
1.4585575632737438,3.0637710013953643,174.0,0.08158111572265625
1.7057621040704958,4.010899688127058,175.0,0.0798039436340332
1.3580668399933074,3.652539606097719,176.0,0.07996892929077148
1.2920790201124845,3.596859824089701,177.0,0.07947087287902832
1.8733611713587608,3.384026908008954,178.0,0.08136510848999023
1.9013533989477658,3.680519513649485,179.0,0.07997894287109375
1.4324481170048557,3.5000751229708262,180.0,0.07982897758483887
1.7140637164857895,3.553367142576358,181.0,0.07911992073059082
1.7823510875191753,3.4847770873093773,182.0,0.08174991607666016
1.4376342309440717,3.4382342024949586,183.0,0.08112215995788574
1.9162700368208727,3.282754924785501,184.0,0.08378100395202637
2.2008915130375417,3.356645922059164,185.0,0.08931422233581543
1.9731913714758187,3.578443850561137,186.0,0.08050799369812012
1.3331729323758839,3.0615182435533463,187.0,0.07993817329406738
1.5565872410384993,3.4558348120591647,188.0,0.0801999568939209
1.8450436282907325,3.480748447535253,189.0,0.08081817626953125
1.2811137319468817,3.5829582632027206,190.0,0.07964324951171875
2.180711500475264,3.406240617551298,191.0,0.08201289176940918
1.157477821775168,3.5425328669250997,192.0,0.08030533790588379
2.0367254940118693,3.7278369268391027,193.0,0.07929587364196777
1.6378633507204152,3.208081519589494,194.0,0.08015012741088867
1.4527404129422976,3.2600318639314434,195.0,0.08540987968444824
1.7694948630995608,3.496523672320516,196.0,0.08316707611083984
1.1891228992470821,3.5516208206062174,197.0,0.0816812515258789
1.7979693461666197,3.5725375757558497,198.0,0.07971501350402832
1.7528297355641,3.585106766329598,199.0,0.0803830623626709
